xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
781.5, 776, 69.3636, 68.7647, 51.4174, 0.0254179, 0.296898, 0.0317417, 0.00968391, 0.2591, 0.0132386, 0.0288148, 0.334096, 0.432387, 0.0648708, 2.14375, 0.630081, 0.284494, 0.0874925, 7.96541, 0.971936, 0.0363814, 0.0731118, 0.263707, 2.14763, 0.999751, 0.0135195, 0.0809036, 0.0269965, 0.0392189, 0.0867015, 71.3182, 66.2273, 73.7727, 63.7727, 76.2273, 61.3182, 0.239538
792.5, 787, 69.4545, 67.9643, 51.052, 0.0411014, 0.49018, 0.0550422, 0.00471676, 0.114913, 0.00588596, 0.0176865, 0.338877, 0.428973, 0.0625486, 2.13786, 0.637629, 0.283713, 0.0871085, 7.90298, 0.965705, 0.0359297, 0.0765967, 0.259096, 2.13044, 0.626306, 0.00893032, 0.0519705, 0.0214154, 0.0398612, 0.0867786, 70.5, 65.4091, 72.9545, 62.9545, 75.4091, 60.5, 0.599546
803.5, 798, 63.0909, 67.0449, 50.4264, 0.0178769, 0.206656, 0.0216891, 0.00451603, 0.107881, 0.00554205, 0.0170579, 0.341049, 0.424245, 0.0629965, 2.13955, 0.634928, 0.283936, 0.0857097, 7.76669, 0.961412, 0.0356197, 0.0752454, 0.240075, 2.08398, 0.862334, 0.0113347, 0.0726383, 0.0280529, 0.0405521, 0.0869145, 69.5909, 64.5, 72.0455, 62.0455, 74.4091, 59.6818, -1.60159
814.5, 809, 67.4545, 66.2822, 50.1374, 0.0172608, 0.201488, 0.0209945, 0.00446558, 0.108166, 0.00549235, 0.0168159, 0.345454, 0.424771, 0.0603758, 2.09919, 0.618163, 0.278581, 0.0852997, 7.66225, 0.951869, 0.035461, 0.0789437, 0.267742, 2.06364, 0.592411, 0.00830057, 0.0492991, 0.0203656, 0.0410832, 0.0869453, 68.7727, 63.7727, 71.2273, 61.3182, 73.5909, 58.9545, 0.477585
825.5, 820, 64.9091, 65.6266, 49.5226, 0.0193211, 0.225989, 0.0241846, 0.00441603, 0.107288, 0.00558013, 0.0167113, 0.358978, 0.426084, 0.0612548, 2.11937, 0.625949, 0.281258, 0.0846192, 7.56383, 0.946497, 0.035005, 0.0737519, 0.239786, 2.0375, 0.635568, 0.0088057, 0.0529346, 0.021161, 0.0411621, 0.0870133, 68.1364, 63.1364, 70.5909, 60.6818, 72.9545, 58.3182, -0.293758
836.5, 831, 64.8182, 65.2946, 48.9228, 0.0309275, 0.372523, 0.039945, 0.0043373, 0.106647, 0.00544031, 0.0164949, 0.358138, 0.419255, 0.0602928, 2.16645, 0.624201, 0.287506, 0.0843686, 7.44917, 0.939825, 0.0346886, 0.071476, 0.256214, 2.01782, 0.798593, 0.0108104, 0.0650275, 0.0229134, 0.0416556, 0.0870998, 67.7727, 62.7727, 70.2273, 60.4091, 72.5909, 58.0455, -0.195535
847.5, 842, 62.7273, 64.2427, 48.5605, 0.0141311, 0.162578, 0.0169347, 0.00426314, 0.102562, 0.00535618, 0.0162624, 0.362103, 0.436764, 0.0598118, 2.09415, 0.632783, 0.277911, 0.0834484, 7.36239, 0.92751, 0.0343469, 0.0680622, 0.245262, 1.99118, 0.576983, 0.00805717, 0.0486146, 0.0200249, 0.0435324, 0.0871744, 66.6818, 61.7727, 69.1364, 59.4091, 71.5, 57.0455, -0.627067
858.5, 853, 62.3636, 64.3121, 47.9242, 0.0130391, 0.15007, 0.0157029, 0.0260072, 0.755211, 0.036737, 0.0592188, 0.369474, 0.446394, 0.059845, 2.12988, 0.621261, 0.282653, 0.0830104, 7.30449, 0.926652, 0.0341808, 0.0711204, 0.240939, 1.97321, 0.581107, 0.00809843, 0.0482715, 0.0198784, 0.0442879, 0.0872522, 66.7727, 61.8636, 69.2273, 59.4091, 71.5, 57.0455, -0.805846
869.5, 864, 60.3636, 62.9448, 47.4644, 0.0139486, 0.162212, 0.0167079, 0.00373517, 0.0881455, 0.00460621, 0.0142237, 0.378457, 0.439916, 0.0611719, 2.11012, 0.635722, 0.280031, 0.082156, 7.169, 0.929056, 0.0337724, 0.0728984, 0.235751, 1.94971, 0.589243, 0.008063, 0.0492403, 0.0198468, 0.0452478, 0.0873382, 65.4091, 60.5, 67.7727, 58.1364, 70.0455, 55.7727, -1.07901
880.5, 875, 65.5455, 61.8364, 46.4848, 0.0131216, 0.151768, 0.0155467, 0.00362379, 0.086775, 0.00450802, 0.0139614, 0.385031, 0.437902, 0.0619017, 2.0622, 0.636517, 0.273672, 0.0819388, 7.11576, 0.925989, 0.0338771, 0.0686312, 0.23921, 1.94121, 0.586862, 0.00815928, 0.0496056, 0.0200307, 0.0464106, 0.0874232, 64.2273, 59.4091, 66.5909, 57.0455, 68.9545, 54.7727, 1.56436
891.5, 886, 60.9091, 61.5388, 46.1392, 0.0125227, 0.146115, 0.0151331, 0.00515414, 0.132179, 0.00690134, 0.0173537, 0.393233, 0.434576, 0.0595298, 2.17948, 0.633021, 0.289235, 0.0819172, 6.99724, 0.93146, 0.0333894, 0.0682756, 0.240363, 1.91224, 0.596442, 0.00812552, 0.0503807, 0.0202252, 0.0476164, 0.087488, 63.9545, 59.1364, 66.3182, 56.7727, 68.5909, 54.5, -0.266249
902.5, 897, 61.6364, 60.8771, 45.1673, 0.0168294, 0.196648, 0.0205521, 0.00340899, 0.0836106, 0.00435192, 0.0134301, 0.404373, 0.430549, 0.0603923, 2.14585, 0.646846, 0.284773, 0.0813701, 7.19954, 0.954862, 0.0339152, 0.0712627, 0.25679, 1.9709, 0.615658, 0.0084106, 0.05144, 0.0202483, 0.0461773, 0.0875807, 63.2273, 58.5, 65.5909, 56.1364, 67.8636, 53.8636, 0.322767
911.5, 908, 70.5714, 64.9137, 44.7652, 0.33778, 4.33327, 0.426457, 0.00347097, 0.0834925, 0.00431964, 0.0133476, 0.412796, 0.431699, 0.0614871, 2.16062, 0.645768, 0.286733, 0.0805645, 6.94557, 0.926859, 0.0329871, 0.0727562, 0.225994, 1.88777, 0.572523, 0.00799024, 0.0496342, 0.0192611, 0.0376962, 0.0876383, 68.0714, 61.7857, 71.0714, 58.7857, 74.0714, 55.7857, 1.85792
921, 915, 57.6667, 58.9674, 43.9236, 0.0072266, 0.0924645, 0.00888183, 0.00344943, 0.0820635, 0.00423455, 0.0132461, 0.425229, 0.446832, 0.0608941, 2.12925, 0.640867, 0.282569, 0.0809219, 6.88866, 0.918937, 0.0325738, 0.0713219, 0.240147, 1.87242, 0.548079, 0.00764897, 0.0461779, 0.0182765, 0.0337318, 0.0877119, 61.2083, 56.7083, 63.4583, 54.5417, 65.625, 52.375, -0.586764
933, 927, 57.75, 58.6627, 43.1524, 0.00698354, 0.0893835, 0.00879917, 0.00348374, 0.0817083, 0.00425071, 0.0132235, 0.438109, 0.443221, 0.0608637, 2.14312, 0.65995, 0.28441, 0.0805228, 6.80479, 0.919994, 0.0327183, 0.0681274, 0.23407, 1.8523, 1.02977, 0.0134427, 0.0870186, 0.0305571, 0.0317366, 0.0877931, 60.875, 56.375, 63.125, 54.2083, 65.2917, 52.0417, -0.412797
945, 939, 56.25, 57.8773, 42.3535, 0.00982951, 0.121847, 0.0124416, 0.00341539, 0.0796211, 0.00416907, 0.0129292, 0.456267, 0.514723, 0.067873, 2.49106, 0.754925, 0.330584, 0.0875048, 6.76394, 0.919881, 0.0324632, 0.0713219, 0.23909, 1.84274, 0.52158, 0.00720121, 0.0432924, 0.0168752, 0.0303648, 0.0878631, 60.125, 55.625, 62.2917, 53.4583, 64.4583, 51.2917, -0.740992
956.5, 951, 57.4545, 56.3576, 41.3536, 0.00876651, 0.110409, 0.0109694, 0.00385053, 0.094064, 0.00489394, 0.013969, 0.456774, 0.461452, 0.0637097, 2.23076, 0.675529, 0.296041, 0.082001, 6.69056, 0.918802, 0.0321611, 0.0693424, 0.23921, 1.84857, 0.509343, 0.0070519, 0.0428651, 0.0164545, 0.0284528, 0.0879688, 58.6818, 54.0455, 60.9545, 51.7727, 63.1364, 49.5909, 0.484631
967.5, 962, 60.8182, 57.9728, 40.708, 0.162893, 2.06734, 0.206488, 0.00324599, 0.072849, 0.00390395, 0.0124635, 0.39769, 0.440791, 0.061769, 2.26775, 0.679423, 0.30095, 0.0803769, 6.66218, 0.910903, 0.031904, 0.070267, 0.254773, 1.82642, 0.563072, 0.00776584, 0.0469501, 0.017868, 0.0267374, 0.0880528, 60.3182, 55.5909, 62.5909, 53.3182, 64.8636, 51.1364, 1.23945
980, 973, 52.7143, 54.3869, 39.6512, 0.00411468, 0.0610252, 0.00534008, 0.00333152, 0.0769491, 0.00409762, 0.0127226, 0.370802, 0.466573, 0.0629206, 2.25937, 0.667119, 0.299838, 0.080806, 6.60167, 0.92125, 0.0319887, 0.0714151, 0.24026, 1.82157, 0.496001, 0.00691025, 0.041292, 0.0158688, 0.0243408, 0.0881358, 56.3929, 52.3929, 58.3214, 50.3929, 60.25, 48.5357, -0.848625
994, 987, 52.2857, 53.2181, 38.524, 0.00438683, 0.0615716, 0.00574363, 0.00316396, 0.0719516, 0.00377392, 0.0119718, 0.359987, 0.480262, 0.0632725, 2.27126, 0.6944, 0.301416, 0.0810658, 6.53322, 0.930675, 0.0316454, 0.0720856, 0.242298, 1.80483, 0.492849, 0.00678385, 0.0406942, 0.0156066, 0.0209333, 0.0882444, 55.1786, 51.25, 57.1786, 49.3214, 59.0357, 47.3929, -0.478205
1008, 1001, 53.4286, 53.1266, 37.4518, 0.00348991, 0.0510261, 0.00457047, 0.0031066, 0.0704557, 0.00375863, 0.0119265, 0.353768, 0.482807, 0.0640414, 2.38025, 0.697272, 0.31588, 0.0817733, 7.11468, 1.03418, 0.0325357, 0.0799089, 0.261999, 1.98032, 0.477942, 0.00670755, 0.0401639, 0.01531, 0.0186366, 0.0883434, 55.1071, 51.1786, 57.0357, 49.1786, 58.9643, 47.3214, 0.155012
