xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1043, 1029, 9.28571, 8.87995, 0.0105379, 0.0138903, 0.127543, 0.0117185, 2.63093e-05, 0.00972066, 0.158371, 0.00826809, 0.00898401, 0.00851628, 0.394014, 0.193446, 0.0437184, 1.45695, 5.09611e-05, 0.370273, 0.050807, 4.15538, 0.38698, 3.4655e-06, 0.0935269, 0.381914, 0.169658, 0.602303, 0.0140693, 0.0598512, 0.0111381, 0.138296, 9.44643, 8.30357, 10.0179, 7.73214, 10.5536, 7.19643, 0.720528
1071, 1057, 9.78571, 9.02926, 0.0118981, 0.015748, 0.145138, 0.0129723, 2.66549e-05, 0.00967204, 0.158482, 0.00830823, 0.009396, 0.00851504, 0.396456, 0.20535, 0.0463137, 1.52823, 5.16392e-05, 0.395358, 0.0514832, 4.16212, 0.398021, 3.49506e-06, 0.0940009, 0.386056, 0.17113, 0.594314, 0.0139292, 0.0589561, 0.0108306, 0.136506, 9.625, 8.44643, 10.1964, 7.875, 10.7321, 7.33929, 1.33209
1098.5, 1085, 9.51852, 9.21493, 0.0105411, 0.0139282, 0.128356, 0.0115391, 3.64615e-05, 0.0134811, 0.220697, 0.0110269, 0.00886118, 0.00863023, 0.402885, 0.213811, 0.0487384, 1.60154, 5.27048e-05, 0.409381, 0.0525454, 4.15746, 0.412767, 3.61764e-06, 0.098837, 0.410839, 0.171503, 0.583555, 0.0135673, 0.0576387, 0.0106253, 0.142076, 9.83333, 8.61111, 10.3889, 8.01852, 10.9815, 7.46296, 0.519666
1121, 1112, 10.2778, 10.824, 0.0108203, 0.0143192, 0.132057, 0.0117296, 2.10974e-05, 0.0078094, 0.126794, 0.00663331, 0.00800782, 0.00881584, 0.410169, 0.218265, 0.0506385, 1.66879, 5.34805e-05, 0.435664, 0.0533188, 4.17057, 0.426747, 3.6998e-06, 0.101972, 0.420012, 0.173758, 1.00526, 0.0214977, 0.0982638, 0.0227296, 1.21932, 11.6389, 10.0278, 12.4167, 9.25, 13.1389, 8.47222, -0.704436
1144, 1130, 8.46429, 9.21313, 0.00712237, 0.0093141, 0.0862034, 0.00794455, 2.0588e-05, 0.00758181, 0.122787, 0.00643771, 0.00784546, 0.00904493, 0.423339, 0.234519, 0.0531612, 1.75473, 5.4828e-05, 0.45276, 0.0546623, 4.19364, 0.440464, 3.79732e-06, 0.10667, 0.439201, 0.176047, 0.540642, 0.0124128, 0.0527773, 0.00932818, 0.00441647, 9.80357, 8.625, 10.375, 8.05357, 10.9464, 7.48214, -1.30548
1164, 1158, 9.91667, 9.40631, 0.00815588, 0.010715, 0.0992848, 0.00881359, 2.0105e-05, 0.00737872, 0.119779, 0.00631097, 0.00782848, 0.00974161, 0.45487, 0.244868, 0.0557772, 1.81639, 5.6192e-05, 0.472927, 0.0560222, 4.23319, 0.453994, 3.93476e-06, 0.114442, 0.456706, 0.177906, 0.516661, 0.0122333, 0.0506363, 0.00815562, 0.00343719, 10.2917, 8.45833, 11.2083, 7.625, 12.0417, 6.70833, 0.576445
1174.5, 1170, 10.7778, 11.1056, 0.00634172, 0.00823395, 0.0764348, 0.00701457, 1.98633e-05, 0.00722897, 0.117343, 0.0062328, 0.0077259, 0.0455201, 2.00245, 0.255608, 0.0559002, 1.88893, 5.71142e-05, 0.489299, 0.0569415, 4.26284, 0.471565, 3.91225e-06, 0.11339, 0.451682, 0.17985, 0.520507, 0.0122254, 0.0509528, 0.00821804, 0.00311362, 12.2778, 9.94444, 13.3889, 8.83333, 14.5, 7.72222, -0.295138
1194, 1179, 10, 9.58902, 0.00557661, 0.00718923, 0.0669179, 0.00615694, 1.94988e-05, 0.00716018, 0.116064, 0.00614693, 0.00765773, 0.00651249, 0.313987, 0.268382, 0.0613212, 1.98753, 5.87369e-05, 0.516468, 0.0585594, 4.29445, 0.48593, 4.02185e-06, 0.118018, 0.474791, 0.182274, 0.523509, 0.0123321, 0.0512162, 0.00824405, 0.00254686, 10.1833, 9.01667, 10.75, 8.45, 11.2833, 7.88333, 0.726926
1224, 1209, 9.13333, 10.1572, 0.00520207, 0.00659485, 0.0620516, 0.00568837, 1.90292e-05, 0.00691093, 0.113351, 0.00594261, 0.00753365, 0.00698041, 0.341914, 0.294797, 0.0671925, 2.17864, 6.1887e-05, 0.567181, 0.0617, 4.38612, 0.517169, 4.25222e-06, 0.127663, 0.510108, 0.188165, 0.60962, 0.0141662, 0.0601234, 0.0105955, 0.00174825, 10.75, 9.55, 11.35, 8.98333, 11.9167, 8.41667, -1.75969
1254, 1239, 10.2, 10.5888, 0.00626849, 0.00784448, 0.0736104, 0.00689093, 1.85374e-05, 0.00678536, 0.110698, 0.00581559, 0.00743133, 0.00705012, 0.347536, 0.320376, 0.0751332, 2.36527, 6.4201e-05, 0.624327, 0.064007, 4.52097, 0.558472, 4.50701e-06, 0.135518, 0.541822, 0.195926, 0.53223, 0.012752, 0.0526941, 0.00816753, 0.0010929, 11.1833, 9.98333, 11.7833, 9.38333, 12.3833, 8.81667, -0.654391
