xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2947.5, 2940, 0, 0.726072, 0, 0, 0, 0, 0.00247852, 0.134431, 0.00685383, 0.00136864, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0348092, 0, 0, 0.0221918, 0.0013052, 0.00144353, 2.75074e-05, 0.000139765, 2.34018e-05, 0, 0.519127, 1.5, 0, 2.5, 0, 4.5, 0, -1.21119
2962.5, 2955, 0, 0.741306, 0, 0, 0, 0, 0.00238898, 0.140096, 0.00705361, 0.00132709, 0, 0, 0, 0, 0, 0, 0, 0.00124874, 0.0377775, 0, 0, 0.025362, 0.00223749, 0.000824877, 1.37537e-05, 8.73534e-05, 2.34018e-05, 0, 0.522865, 1.5, 0, 2.5, 0, 4.5, 0, -1.20812
2977.5, 2970, 1, 0.720766, 0, 0, 0, 0, 0.00219389, 0.118171, 0.00601375, 0.0011453, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0326505, 0, 0, 0.0158513, 0.00111874, 0.013198, 0.000265905, 0.00150248, 0.00049478, 0, 0.526287, 1.5, 0, 2.5, 0, 4.5, 0, 0.161867
2992.5, 2985, 1, 0.711246, 0, 0, 0, 0, 0.00209475, 0.118683, 0.00593435, 0.00110894, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0307616, 1.1638e-05, 0, 0.012681, 0.00167811, 0.00598036, 5.95994e-05, 0.000576533, 0.000157126, 0, 0.529645, 1.5, 0, 2.5, 0, 4.5, 0, 0.171014
3007.5, 3000, 0, 0.70849, 0, 0, 0, 0, 0.00199881, 0.118907, 0.0059113, 0.00104401, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.0304918, 0, 0, 0.00951076, 0.000559372, 0.00309329, 7.79376e-05, 0.000384355, 0.000140411, 0, 0.533249, 1.5, 0, 2.5, 0, 4.5, 0, -1.19089
3022.5, 3015, 2, 0.687586, 0, 0, 0, 0, 0.00181332, 0.0996387, 0.00544516, 0.000953115, 0, 0, 0, 0, 0, 0, 0, 0.000624369, 0.0280633, 0, 0, 0.012681, 0.00111874, 0.000412438, 2.75074e-05, 1.74707e-05, 1.67155e-05, 0, 0.536774, 1.5, 0, 2.5, 0, 4.5, 0, 0.827417
3037.5, 3030, 1, 0.674599, 0, 0, 0, 0, 0.00162463, 0.0837951, 0.00433615, 0.000882995, 0, 0, 0, 0, 0, 0, 0, 0.00437058, 0.0256347, 0, 0, 0.012681, 0.000559372, 0.000206219, 1.37537e-05, 5.2412e-05, 2.00587e-05, 0, 0.540421, 1.5, 0, 2.5, 0, 4.5, 0, 0.197579
3052.5, 3045, 0, 0.673189, 0, 0, 0, 0, 0.00145513, 0.0781618, 0.00383159, 0.000766128, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0207776, 0, 0, 0.00317025, 0.000372914, 0.0156727, 0.000430949, 0.0023236, 0.000638534, 0, 0.543715, 1.5, 0, 2.5, 0, 4.5, 0, -1.16982
3067.5, 3060, 0, 0.65743, 0, 0, 0, 0, 0.00140396, 0.0691358, 0.00366255, 0.00066744, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.025095, 1.1638e-05, 0, 0.0063405, 0.000932286, 0.000618658, 0, 0.000122295, 2.00587e-05, 0, 0.547547, 1.5, 0, 2.5, 0, 4.5, 0, -1.14299
3082.5, 3075, 1, 0.645228, 0, 0, 0, 0, 0.00110974, 0.061358, 0.00306835, 0.000560962, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.0137618, 0, 0, 0.00317025, 0.000559372, 0.00639279, 8.25222e-05, 0.000541591, 0.000160469, 0, 0.551341, 1.5, 0, 2.5, 0, 4.5, 0, 0.22657
3097.5, 3090, 1, 0.654919, 0, 0, 0, 0, 0.00102339, 0.056909, 0.00278405, 0.000631082, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0188887, 0, 0, 0.0158513, 0.00149166, 0.000412438, 0, 1.74707e-05, 1.00293e-05, 0, 0.555027, 1.5, 0, 2.5, 0, 4.5, 0, 0.216884
3112.5, 3105, 0, 0.652595, 0, 0, 0, 0, 0.000972221, 0.0558527, 0.00265087, 0.00048305, 0, 0, 0, 0, 0, 0, 0, 0.00437058, 0.0156507, 0, 0, 0.012681, 0.000745829, 0, 4.58457e-06, 1.74707e-05, 3.34311e-06, 0, 0.559163, 1.5, 0, 2.5, 0, 4.5, 0, -1.1468
3127.5, 3120, 0, 0.766909, 0, 0, 0, 0, 0.00271838, 0.16487, 0.00868511, 0.00130372, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.0159205, 0, 0, 0.0063405, 0.000932286, 0.000206219, 0, 0, 0, 0, 0.562811, 1.5, 0, 2.5, 0, 4.5, 0, -1.2372
3142.5, 3135, 0, 0.629578, 0, 0, 0, 0, 0.000799524, 0.0451623, 0.00213606, 0.000379168, 0, 0, 0, 0, 0, 0, 0, 0.000624369, 0.0113332, 0, 0.000782325, 0, 0.00205103, 0, 4.58457e-06, 3.49414e-05, 2.67449e-05, 0, 0.566244, 1.5, 0, 2.5, 0, 4.5, 0, -1.12554
3157.5, 3150, 0, 0.635713, 0, 0, 0, 0, 0.000729166, 0.0396891, 0.00199519, 0.000379168, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.0110634, 0, 0, 0.0063405, 0.00149166, 0.000206219, 4.58457e-06, 1.74707e-05, 1.33724e-05, 0, 0.570661, 1.5, 0, 2.5, 0, 4.5, 0, -1.14033
3172.5, 3165, 1, 0.642607, 0, 0, 0, 0, 0.000735562, 0.0379927, 0.00182615, 0.000360989, 0, 0, 0, 0, 0, 0, 0, 0.00124874, 0.0113332, 1.1638e-05, 0, 0.012681, 0.00167811, 0.000206219, 4.58457e-06, 0, 1.33724e-05, 0, 0.574515, 1.5, 0, 2.5, 0, 4.5, 0, 0.226353
3187.5, 3180, 0, 0.732925, 0, 0, 0, 0, 0.00204678, 0.124604, 0.0064466, 0.00082586, 0, 0, 0, 0, 0, 0, 0, 0.00624369, 0.0113332, 0, 0, 0, 0.000932286, 0.00144353, 9.16913e-06, 0.000209648, 3.67742e-05, 0, 0.578793, 1.5, 0, 2.5, 0, 4.5, 0, -1.1986
3202.5, 3195, 1, 1.27042, 0, 0, 0, 0, 0.0109215, 0.616973, 0.0312341, 0.00350861, 0, 0, 0, 0, 0, 0, 0, 0.00249747, 0.00890469, 0, 0, 0.012681, 0.0013052, 0, 0, 0, 0, 0, 0.582399, 2.5, 0, 3.5, 0, 5.5, 0, -0.242134
