xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1612.5, 1605, 15, 13.7244, 0.0166572, 0.0211559, 0.196115, 0.0184474, 0.000297502, 0.103312, 1.72423, 0.0910329, 0.120338, 0.0438755, 2.38496, 0, 0, 0, 0, 0, 0, 0.747056, 0.98342, 2.80104e-05, 0.386777, 0.939621, 0.0791809, 5.16703, 0.124423, 0.499454, 0.0769426, 0, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, 0.381383
1627.5, 1620, 21, 14.8887, 0.0813781, 0.0969844, 0.93037, 0.0881317, 0.0003613, 0.12525, 2.07487, 0.109947, 0.139172, 0.0418376, 2.25806, 0, 0, 0, 0, 0, 0, 0.790426, 0.987464, 2.67429e-05, 0.387101, 0.971073, 0.0823772, 5.04486, 0.120233, 0.485678, 0.0731376, 0, 18.5, 10.5, 23.5, 7.5, 27.5, 4.5, 1.52475
1642.5, 1635, 14, 12.7617, 0.0255972, 0.0309043, 0.2957, 0.0278939, 0.000221206, 0.0769682, 1.27096, 0.0691226, 0.0997378, 0.040118, 2.15398, 0, 0, 0, 0, 0, 0, 0.772453, 0.937162, 2.42768e-05, 0.392279, 1.00252, 0.081441, 4.82781, 0.116719, 0.468207, 0.0718671, 0, 16.5, 8.5, 20.5, 5.5, 24.5, 3.5, 0.384909
1657.5, 1650, 14, 13.0378, 0.00645152, 0.0081965, 0.0787029, 0.00706114, 0.000222596, 0.0781935, 1.28004, 0.0695421, 0.10007, 0.037945, 2.05327, 0, 0, 0, 0, 0, 0, 0.745884, 0.898867, 2.40828e-05, 0.332078, 1.00449, 0.0779541, 5.50675, 0.130234, 0.533109, 0.0887582, 0, 16.5, 8.5, 20.5, 5.5, 25.5, 3.5, 0.306919
1672.5, 1665, 18, 11.7782, 0.0167265, 0.0220304, 0.202562, 0.0179851, 0.000236002, 0.0817876, 1.35964, 0.0737514, 0.103399, 0.0367211, 1.98329, 0, 0, 0, 0, 0, 0, 0.692746, 0.857538, 2.20608e-05, 0.355705, 0.89441, 0.0738054, 4.40688, 0.106696, 0.42757, 0.0647146, 0, 14.5, 7.5, 18.5, 4.5, 23.5, 2.5, 1.71617
1687.5, 1680, 8, 11.54, 0.00728183, 0.00902888, 0.0866642, 0.0077022, 0.000233291, 0.0814842, 1.3393, 0.0729675, 0.104641, 0.0353, 1.93222, 0, 0, 0, 0, 0, 0, 0.679071, 0.765528, 2.11641e-05, 0.32075, 0.855095, 0.0678325, 4.55646, 0.107727, 0.440407, 0.0702442, 0, 14.5, 7.5, 18.5, 4.5, 22.5, 2.5, -1.04866
1702.5, 1695, 7, 10.6691, 0.00468095, 0.00589362, 0.0560254, 0.00517855, 0.000230871, 0.0800052, 1.32624, 0.0721443, 0.105455, 0.0339802, 1.84577, 0, 0, 0, 0, 0, 0, 0.632575, 0.654181, 1.93921e-05, 0.291944, 0.719459, 0.0584373, 4.2058, 0.101057, 0.407271, 0.0627345, 0, 13.5, 6.5, 17.5, 4.5, 21.5, 1.5, -1.14096
1717.5, 1710, 11, 10.3804, 0.00578803, 0.00794967, 0.0717316, 0.00621274, 0.000232225, 0.0810758, 1.32803, 0.0737184, 0.107221, 0.0329607, 1.78923, 0, 0, 0, 0, 0, 0, 0.593894, 0.575694, 1.80988e-05, 0.25893, 0.573995, 0.0503981, 4.25289, 0.101418, 0.407108, 0.061913, 0, 13.5, 6.5, 17.5, 4.5, 20.5, 1.5, 0.239604
1732.5, 1725, 14, 18.4908, 0.00480952, 0.00631535, 0.0580468, 0.00526035, 0.000236905, 0.0816497, 1.35115, 0.0745136, 0.107925, 0.0320466, 1.73753, 0, 0, 0, 0, 0, 0, 0.54818, 0.50239, 1.70684e-05, 0.234655, 0.4934, 0.0447481, 11.683, 0.29413, 1.10933, 0.121445, 0, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, -1.04967
1747.5, 1740, 10, 9.31311, 0.00295623, 0.00387577, 0.0363711, 0.0033581, 0.000238602, 0.0815515, 1.37056, 0.0743758, 0.109281, 0.0313012, 1.69748, 0, 0, 0, 0, 0, 0, 0.53724, 0.451708, 1.61932e-05, 0.217501, 0.587755, 0.0419231, 3.58209, 0.0856508, 0.342539, 0.0553349, 0, 12.5, 5.5, 15.5, 3.5, 19.5, 1.5, 0.273967
