xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1942.5, 1935, 3, 6.09063, 0.0211586, 0.000320071, 0.00397464, 0.000402522, 0.0407341, 0.951257, 0.0538856, 0.144081, 0.205469, 0, 0, 0, 0, 0, 0, 0.172326, 1.16678, 0.175292, 0.00156465, 0.0158513, 0.0535132, 1.479, 0.0195119, 0.118993, 0.0354871, 0, 1.43102, 8.5, 3.5, 11.5, 1.5, 14.5, 0, -1.30462
1957.5, 1950, 8, 5.88983, 0.0217011, 0.00502529, 0.060593, 0.00611689, 0.0404303, 0.959835, 0.0541545, 0.142102, 0.204852, 0, 0, 0, 0, 0, 0, 0.181067, 1.14007, 0.171044, 0.00391162, 0.0063405, 0.0510893, 1.25856, 0.016399, 0.103164, 0.0306162, 0, 1.43277, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 0.881663
1972.5, 1965, 4, 5.77003, 0.00651033, 0.00100723, 0.0127756, 0.00114287, 0.0396756, 0.961723, 0.0528355, 0.141638, 0.199614, 0, 0, 0, 0, 0, 0, 0.16296, 1.16975, 0.165038, 0.0031293, 0.012681, 0.0538861, 1.21154, 0.0157526, 0.0959315, 0.0280119, 0, 1.43443, 7.5, 2.5, 11.5, 1.5, 13.5, 0, -0.702302
1987.5, 1980, 6, 5.44968, 0, 2.89329e-05, 0.000397464, 2.87515e-05, 0.039634, 0.959195, 0.0543671, 0.142609, 0.205777, 0, 0, 0, 0, 0, 0, 0.171077, 1.08907, 0.165679, 0.00156465, 0.00951076, 0.0527674, 1.00656, 0.013199, 0.0786181, 0.0235622, 0, 1.43604, 7.5, 2.5, 10.5, 0.5, 13.5, 0, 0.298379
2002.5, 1995, 3, 5.35952, 0, 1.80831e-06, 0.000202788, 1.43758e-05, 0.0399474, 0.972862, 0.053819, 0.142941, 0.200675, 0, 0, 0, 0, 0, 0, 0.171701, 1.04131, 0.160523, 0.0031293, 0.00317025, 0.0486653, 0.970674, 0.0137079, 0.0768361, 0.0213926, 0, 1.43795, 7.5, 2.5, 10.5, 0.5, 13.5, 0, -1.02484
2017.5, 2010, 6, 5.5057, 0, 5.42493e-06, 0.000519137, 5.03152e-05, 0.0399826, 0.987041, 0.054344, 0.143333, 0.1991, 0, 0, 0, 0, 0, 0, 0.156092, 0.999484, 0.159976, 0.00469395, 0.0063405, 0.048106, 1.14534, 0.014015, 0.0850123, 0.0228, 0, 1.43946, 7.5, 2.5, 10.5, 0.5, 13.5, 0, 0.274046
2032.5, 2025, 4, 5.19502, 0, 0.000104882, 0.00121673, 0.000165321, 0.0405646, 0.988418, 0.0553506, 0.145463, 0.196293, 0, 0, 0, 0, 0, 0, 0.155468, 0.999484, 0.155356, 0.00234697, 0.012681, 0.0479195, 0.853129, 0.0113789, 0.0683104, 0.0200486, 0, 1.44132, 7.5, 2.5, 9.5, 0.5, 12.5, 0, -0.472485
2047.5, 2040, 6, 5.1997, 0, 0, 8.11151e-06, 0, 0.0414473, 0.992194, 0.0565467, 0.146813, 0.192116, 0, 0, 0, 0, 0, 0, 0.144854, 0.985992, 0.152539, 0.000782325, 0.00317025, 0.052208, 0.883237, 0.0119978, 0.0718394, 0.0209178, 0, 1.44303, 7.5, 2.5, 9.5, 0.5, 12.5, 0, 0.404306
2062.5, 2055, 6, 5.02592, 0, 1.80831e-06, 5.67806e-05, 0, 0.0419462, 1.01454, 0.0560063, 0.148478, 0.189342, 0, 0, 0, 0, 0, 0, 0.171701, 0.929865, 0.144637, 0.00469395, 0.0158513, 0.0479195, 0.730428, 0.0102786, 0.0578804, 0.0175547, 0, 1.44474, 7.5, 2.5, 9.5, 0.5, 12.5, 0, 0.483093
2077.5, 2070, 3, 4.94738, 0, 0, 0, 0, 0.0419462, 1.02238, 0.0580168, 0.150205, 0.187356, 0, 0, 0, 0, 0, 0, 0.167955, 0.918532, 0.142903, 0.00234697, 0.00317025, 0.0454956, 0.680317, 0.00869692, 0.0557315, 0.015746, 0, 1.44658, 7.5, 2.5, 9.5, 0.5, 12.5, 0, -0.862998
