xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2887.5, 2880, 1, 2.22794, 0, 0, 0, 0.116233, 1.94395, 0.0921144, 0.022667, 0, 0, 0, 0, 0, 0, 0, 0.00780461, 0.0140316, 0.000448063, 0.00547627, 0.00317025, 0.0045682, 0.0154664, 0.000307166, 0.00143577, 0.000267449, 0, 3.5, 0.5, 5.5, 0, 7.5, 0, -0.850789
2902.5, 2895, 1, 1.79363, 0, 0, 0, 0.0920266, 1.56207, 0.0726593, 0.0193791, 0, 0, 0, 0, 0, 0, 0, 0.00874116, 0.013357, 0.000320045, 0.00391162, 0.0063405, 0.00466143, 0.00897053, 0.00019026, 0.000856063, 0.000147097, 0, 2.5, 0, 4.5, 0, 6.5, 0, -0.590127
2917.5, 2910, 3, 1.7309, 0, 0, 0, 0.0870812, 1.49774, 0.0698202, 0.0178599, 0, 0, 0, 0, 0, 0, 0, 0.0040584, 0.013492, 0.000372416, 0.00352046, 0.00951076, 0.00466143, 0.0202095, 0.00045158, 0.00174072, 0.000379443, 0, 2.5, 0, 4.5, 0, 6.5, 0, 0.831357
2932.5, 2925, 0, 1.69927, 0, 0, 0, 0.0854589, 1.46134, 0.0681119, 0.0166847, 0, 0, 0, 0, 0, 0, 0, 0.0149848, 0.0144364, 0.00034914, 0.00430279, 0.0174364, 0.00615309, 0.00876432, 0.000231521, 0.000881475, 0.000142082, 0, 2.5, 0, 4.5, 0, 6.5, 0, -1.797
2947.5, 2940, 0, 1.65026, 0, 0, 0, 0.084043, 1.43809, 0.0659105, 0.0156498, 0, 0, 0, 0, 0, 0, 0, 0.00936553, 0.010119, 0.00029095, 0.00352046, 0.00792563, 0.00540726, 0.00866121, 0.000247567, 0.000921181, 0.000111994, 0, 2.5, 0, 4.5, 0, 6.5, 0, -1.78875
2962.5, 2955, 2, 1.62985, 0, 0, 0, 0.0830022, 1.43061, 0.0649744, 0.0150577, 0, 0, 0, 0, 0, 0, 0, 0.00686806, 0.00998404, 0.000192027, 0.0031293, 0.00792563, 0.00428852, 0.0031964, 0.000121491, 0.000411355, 9.36071e-05, 0, 2.5, 0, 4.5, 0, 6.5, 0, 0.288184
2977.5, 2970, 1, 1.47775, 0, 0, 0, 0.0746726, 1.28597, 0.0585611, 0.0132683, 0, 0, 0, 0, 0, 0, 0, 0.00468277, 0.011738, 0.000209484, 0.00273814, 0.00317025, 0.00512757, 0.0154664, 0.000359888, 0.00144054, 0.000349355, 0, 2.5, 0, 4.5, 0, 6.5, 0, -0.391206
2992.5, 2985, 4, 1.44814, 0, 0, 0, 0.0724921, 1.25925, 0.0566863, 0.0126177, 0, 0, 0, 0, 0, 0, 0, 0.00967771, 0.0113332, 0.000186208, 0.00391162, 0.00792563, 0.00419529, 0.00876432, 0.000213182, 0.000735357, 0.000143754, 0, 2.5, 0, 4.5, 0, 6.5, 0, 1.37681
3007.5, 3000, 0, 1.41385, 0, 0, 0, 0.0727479, 1.23673, 0.0555158, 0.0116464, 0, 0, 0, 0, 0, 0, 0, 0.00655587, 0.0109285, 0.000139656, 0.00234697, 0.00317025, 0.00382237, 0.00907364, 0.000199429, 0.00083224, 0.000142082, 0, 2.5, 0, 4.5, 0, 6.5, 0, -1.66358
3022.5, 3015, 2, 1.2839, 0, 0, 0, 0.0648719, 1.12898, 0.0498709, 0.0102726, 0, 0, 0, 0, 0, 0, 0, 0.00811679, 0.00849993, 0.000203665, 0.00352046, 0.00158513, 0.00540726, 0.0021653, 5.95994e-05, 0.000300178, 4.34604e-05, 0, 2.5, 0, 3.5, 0, 5.5, 0, 0.522801
3037.5, 3030, 2, 1.16617, 0, 0, 0, 0.0579698, 1.0087, 0.0440274, 0.00914419, 0, 0, 0, 0, 0, 0, 0, 0.00780461, 0.0107936, 9.8923e-05, 0.00273814, 0.0174364, 0.00438174, 0.00278396, 5.95994e-05, 0.000200119, 3.34311e-05, 0, 2.5, 0, 3.5, 0, 5.5, 0, 0.596659
3052.5, 3045, 1, 1.10291, 0, 0, 0, 0.0531523, 0.941451, 0.040726, 0.00840663, 0, 0, 0, 0, 0, 0, 0, 0.00749242, 0.00809517, 0.000192027, 0.00352046, 0.00951076, 0.00484789, 0.0227872, 0.000492841, 0.00183125, 0.000402845, 0, 1.5, 0, 3.5, 0, 5.5, 0, -0.125449
3067.5, 3060, 1, 1.01027, 0, 0, 0, 0.0493292, 0.87313, 0.0372479, 0.00767427, 0, 0, 0, 0, 0, 0, 0, 0.0140483, 0.0106586, 0.000122199, 0.000782325, 0.012681, 0.00410206, 0.000412438, 6.87685e-06, 5.55885e-05, 1.67155e-05, 0, 1.5, 0, 3.5, 0, 5.5, 0, -0.0610508
3082.5, 3075, 1, 0.925856, 0, 0, 0, 0.0448605, 0.804402, 0.0342615, 0.00703799, 0, 0, 0, 0, 0, 0, 0, 0.00561932, 0.00957929, 0.000145475, 0.00547627, 0.00475538, 0.00428852, 0.00474304, 0.000112322, 0.000476473, 9.86217e-05, 0, 1.5, 0, 3.5, 0, 4.5, 0, 0.00671586
3097.5, 3090, 0, 0.862031, 0, 0, 0, 0.0413397, 0.743122, 0.0310894, 0.00652507, 0, 0, 0, 0, 0, 0, 0, 0.00749242, 0.0106586, 6.9828e-05, 0.00352046, 0.0142661, 0.00316977, 0.000721767, 1.37537e-05, 3.17649e-05, 1.00293e-05, 0, 1.5, 0, 3.5, 0, 4.5, 0, -1.30057
3112.5, 3105, 1, 0.796598, 0, 0, 0, 0.0390516, 0.687371, 0.0295488, 0.00596801, 0, 0, 0, 0, 0, 0, 0, 0.00561932, 0.00903961, 6.4009e-05, 0.00234697, 0.012681, 0.0045682, 0.000309329, 9.16913e-06, 1.42942e-05, 6.68622e-06, 0, 1.5, 0, 3.5, 0, 4.5, 0, 0.109054
3127.5, 3120, 1, 1.60297, 0, 0, 0, 0.0839994, 1.40489, 0.0647221, 0.0121918, 0, 0, 0, 0, 0, 0, 0, 0.00780461, 0.00930945, 7.5647e-05, 0.00352046, 0.0110959, 0.00512757, 0.000206219, 6.87685e-06, 1.58824e-05, 5.01466e-06, 0, 2.5, 0, 4.5, 0, 6.5, 0, -0.469357
3142.5, 3135, 0, 0.679257, 0, 0, 0, 0.0322688, 0.594434, 0.0246377, 0.00463183, 0, 0, 0, 0, 0, 0, 0, 0.00437058, 0.0107936, 8.7285e-05, 0.00273814, 0, 0.0045682, 0.000618658, 3.66765e-05, 6.19415e-05, 1.00293e-05, 0, 1.5, 0, 2.5, 0, 4.5, 0, -1.16482
3157.5, 3150, 0, 0.671283, 0, 0, 0, 0.0307104, 0.581805, 0.023384, 0.0043968, 0, 0, 0, 0, 0, 0, 0, 0.00624369, 0.00971421, 9.3104e-05, 0.000782325, 0.00792563, 0.0052208, 0.000927986, 9.16913e-06, 5.2412e-05, 1.67155e-05, 0, 1.5, 0, 2.5, 0, 4.5, 0, -1.17139
3172.5, 3165, 0, 0.654575, 0, 0, 0, 0.0301638, 0.56746, 0.0231163, 0.00420591, 0, 0, 0, 0, 0, 0, 0, 0.00749242, 0.00984912, 0.000104742, 0.00234697, 0.00475538, 0.00484789, 0.000206219, 2.29228e-06, 2.22354e-05, 1.67155e-06, 0, 1.5, 0, 2.5, 0, 4.5, 0, -1.14524
3187.5, 3180, 0, 1.01537, 0, 0, 0, 0.0502333, 0.889396, 0.0391713, 0.00644586, 0, 0, 0, 0, 0, 0, 0, 0.00530713, 0.00823009, 7.5647e-05, 0.00391162, 0.0063405, 0.00410206, 0.00195908, 2.97997e-05, 0.000131824, 4.01173e-05, 0, 1.5, 0, 3.5, 0, 5.5, 0, -1.39645
3202.5, 3195, 2, 5.4492, 0, 0, 0, 0.304572, 4.86694, 0.217484, 0.0272118, 0, 0, 0, 0, 0, 0, 0, 0.00842898, 0.00917453, 8.1466e-05, 0.00234697, 0.00792563, 0.00503434, 0, 0, 0, 0, 0, 7.5, 2.5, 10.5, 0.5, 13.5, 0, -1.60062
3217.5, 3210, 0, 0.329426, 0, 0, 0, 0.013118, 0.264759, 0.0100477, 0.00131021, 0, 0, 0, 0, 0, 0, 0, 0.00686806, 0.0102539, 0.00011638, 0.00234697, 0.0158513, 0.00475466, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 3.5, 0, -0.855513
3232.5, 3225, 0, 0.317372, 0, 0, 0, 0.0134843, 0.261005, 0.00985046, 0.00119983, 0, 0, 0, 0, 0, 0, 0, 0.00624369, 0.00647614, 7.5647e-05, 0.00234697, 0.012681, 0.00400883, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 3.5, 0, -0.842548
3247.5, 3240, 0, 0.301257, 0, 0, 0, 0.0126993, 0.249948, 0.00971088, 0.00125567, 0, 0, 0, 0, 0, 0, 0, 0.00561932, 0.00769041, 6.9828e-05, 0.00195581, 0.00792563, 0.00438174, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 3.5, 0, -0.830527
3262.5, 3255, 0, 0.294388, 0, 0, 0, 0.0124551, 0.24858, 0.00948037, 0.00112452, 0, 0, 0, 0, 0, 0, 0, 0.00686806, 0.00539678, 8.1466e-05, 0.0031293, 0.00317025, 0.00410206, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 3.5, 0, -0.815913
3277.5, 3270, 0, 0.28282, 0, 0, 0, 0.0120219, 0.236563, 0.00859162, 0.00102453, 0, 0, 0, 0, 0, 0, 0, 0.00718024, 0.00661106, 3.4914e-05, 0.00352046, 0.00317025, 0.00410206, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 3.5, 0, -0.802427
3292.5, 3285, 0, 0.273683, 0, 0, 0, 0.0111991, 0.219396, 0.00800254, 0.000893383, 0, 0, 0, 0, 0, 0, 0, 0.00561932, 0.00634122, 8.1466e-05, 0.0031293, 0.0158513, 0.00316977, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, -0.788279
3307.5, 3300, 1, 0.2529, 0, 0, 0, 0.0109637, 0.21506, 0.00773489, 0.000795994, 0, 0, 0, 0, 0, 0, 0, 0.00343403, 0.00445234, 7.5647e-05, 0.00273814, 0.00475538, 0.00289009, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, 0.457582
3322.5, 3315, 2, 0.231733, 0, 0, 0, 0.0103211, 0.197951, 0.00741346, 0.000777815, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.00539678, 4.0733e-05, 0.00195581, 0.00158513, 0.00316977, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, 0.698333
3337.5, 3330, 1, 0.236626, 0, 0, 0, 0.0102659, 0.198271, 0.00717911, 0.000729769, 0, 0, 0, 0, 0, 0, 0, 0.00499495, 0.00472218, 4.0733e-05, 0.00156465, 0.0063405, 0.00251717, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, 0.469763
3352.5, 3345, 0, 0.196799, 0, 0, 0, 0.00867847, 0.171676, 0.00607522, 0.000540185, 0, 0, 0, 0, 0, 0, 0, 0.00374621, 0.00310315, 3.4914e-05, 0.00117349, 0, 0.00177134, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, -0.704195
3367.5, 3360, 0, 0.193195, 0, 0, 0, 0.00819875, 0.161491, 0.00583191, 0.000619395, 0, 0, 0, 0, 0, 0, 0, 0.00561932, 0.00391267, 4.6552e-05, 0.00234697, 0.00317025, 0.0019578, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, -0.688889
3382.5, 3375, 0, 0.233017, 0, 0, 0, 0.0104113, 0.201821, 0.00752359, 0.00098428, 0, 0, 0, 0, 0, 0, 0, 0.00280966, 0.00283331, 3.4914e-05, 0.00156465, 0.00317025, 0.00186457, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, -0.747577
3397.5, 3390, 0, 0.152939, 0, 0, 0, 0.00648341, 0.130823, 0.00456794, 0.000416826, 0, 0, 0, 0, 0, 0, 0, 0.00312184, 0.00404759, 2.9095e-05, 0, 0.00158513, 0.00186457, 0, 0, 0, 0, 0, 0.5, 0, 1.5, 0, 2.5, 0, -0.64324
