bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
4470, 4477.5, 12, 14.9932, 0, 0, 0, 0, 0, 0, 0, 0, 14.9932
4485, 4492.5, 11, 15.3149, 0, 0, 0, 0, 0, 0, 0, 0, 15.3149
4500, 4507.5, 12, 15.6679, 0, 0, 0, 0, 0, 0, 0, 0, 15.6679
4515, 4522.5, 9, 16.0596, 0, 0, 0, 0, 0, 0, 0, 0, 16.0596
4530, 4537.5, 18, 16.4972, 0, 0, 0, 0, 0, 0, 0, 0, 16.4972
4545, 4552.5, 18, 17.0008, 0, 0, 0, 0, 0, 0, 0, 0, 17.0008
4560, 4567.5, 27, 17.6125, 0, 0, 0, 0, 0, 0, 0, 0, 17.6125
4575, 4582.5, 27, 18.0594, 0, 0, 0, 0, 0, 0, 0, 0, 18.0594
4590, 4597.5, 13, 18.5072, 0, 0, 0, 0, 0, 0, 0, 0, 18.5072
4605, 4612.5, 29, 19.1488, 0, 0, 0, 0, 0, 0, 0, 0, 19.1488
4620, 4627.5, 20, 19.9049, 0, 0, 0, 0, 0, 0, 0, 0, 19.9049
4635, 4642.5, 20, 20.7776, 0, 0, 0, 0, 0, 0, 0, 0, 20.7776
4650, 4657.5, 27, 21.6669, 0, 0, 0, 0, 0, 0, 0, 0, 21.6669
4665, 4672.5, 26, 21.93, 0, 0, 0, 0, 0, 0, 0, 0, 21.93
4680, 4687.5, 22, 22.0786, 0, 0, 0, 0, 0, 0, 0, 0, 22.0786
4695, 4702.5, 27, 23.1622, 0, 0, 0, 0, 0, 0, 0, 0, 23.1622
4710, 4717.5, 16, 24.8304, 0, 0, 0, 0, 0, 0, 0, 0, 24.8304
4725, 4732.5, 26, 27.5253, 0, 0, 0, 0, 0, 0, 0, 0, 27.5253
4740, 4747.5, 37, 33.0745, 0, 0, 0, 0, 0, 0, 0, 0, 33.0745
4755, 4762.5, 35, 33.6751, 0, 0, 0, 0, 0, 0, 0, 0, 33.6751
4770, 4777.5, 33, 25.5944, 0, 0, 0, 0, 0, 0, 0, 0, 25.5944
4785, 4792.5, 24, 26.6202, 0, 0, 0, 0, 0, 0, 0, 0, 26.6202
4800, 4807.5, 22, 27.8061, 0, 0, 0, 0, 0, 0, 0, 0, 27.8061
