bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
1755, 1762.5, 65, 66.3827, 11.3462, 0, 4.18652, 0.0238952, 0.0892398, 0.00947428, 47.2604, 3.46701
1770, 1777.5, 20, 16.8819, 9.01784, 0, 4.03835, 0.0244077, 0.0229525, 0.0101361, 0.290536, 3.47764
1785, 1792.5, 12, 14.5828, 6.78782, 0, 3.93891, 0.0276749, 0.0370587, 0.0102874, 0.290536, 3.4905
1800, 1807.5, 16, 13.2484, 5.30064, 0, 3.78154, 0.0263296, 0.0332333, 0.305408, 0.299138, 3.50215
1815, 1822.5, 5, 11.6134, 3.73473, 0, 3.78314, 0.0227421, 0.205676, 0.00679344, 0.346844, 3.51346
1830, 1837.5, 8, 11.7186, 2.86183, 0, 4.53429, 0.021653, 0.125611, 0.00640732, 0.643636, 3.52516
1845, 1852.5, 16, 16.2039, 2.03653, 0, 3.59189, 0.0235108, 0.0322172, 0.00679344, 6.97677, 3.53621
1860, 1867.5, 8, 8.51359, 1.17308, 0, 3.41285, 0.022614, 0.0340104, 0.00712083, 0.317517, 3.5464
1875, 1882.5, 8, 8.3986, 0.892938, 0, 3.23948, 0.0239593, 0.222263, 0.00444296, 0.456333, 3.55919
1890, 1897.5, 8, 7.95509, 0.513541, 0, 3.23251, 0.0239593, 0.0266883, 0.00599808, 0.582245, 3.57014
1905, 1912.5, 10, 7.44204, 0.247072, 0, 3.22139, 0.0251764, 0.0571721, 0.00834856, 0.301876, 3.581
1920, 1927.5, 8, 9.72344, 0.162465, 0, 5.47551, 0.0255608, 0.104213, 0.0062205, 0.357793, 3.59168
1935, 1942.5, 6, 6.9764, 0.0573486, 0, 2.86213, 0.0266499, 0.028601, 0.00703899, 0.391813, 3.60282
1950, 1957.5, 9, 7.37519, 0.0650429, 0, 2.88217, 0.0276749, 0.378149, 0.0058931, 0.402371, 3.61389
1965, 1972.5, 11, 6.9317, 0.0161638, 0, 2.76262, 0.026778, 0.0755819, 0.00662974, 0.417621, 3.62631
1980, 1987.5, 7, 6.85141, 0, 0, 2.74579, 0.0293405, 0.00271963, 0.00540201, 0.431698, 3.63646
1995, 2002.5, 5, 6.83466, 0, 0, 2.68223, 0.027867, 0.00203225, 0.00630235, 0.467673, 3.64855
2010, 2017.5, 7, 7.11764, 0, 0, 2.58884, 0.0286999, 0.00292884, 0.00703899, 0.830549, 3.65959
2025, 2032.5, 2, 6.53891, 0, 0, 2.45027, 0.0280592, 0.00780027, 0.0062205, 0.375389, 3.67117
2040, 2047.5, 6, 6.44385, 0, 0, 2.31504, 0.0296608, 0, 0.00810302, 0.408236, 3.68281
2055, 2062.5, 9, 6.40233, 0, 0, 2.26832, 0.0312623, 0.000508063, 0.00646605, 0.400806, 3.69496
2070, 2077.5, 3, 6.43571, 0, 0, 2.31678, 0.0307498, 0, 0.00744823, 0.374998, 3.70573
2085, 2092.5, 12, 6.28868, 0, 0, 2.14666, 0.0322233, 0, 0.00785747, 0.383601, 3.71834
2100, 2107.5, 5, 6.2867, 0, 0, 2.12639, 0.0331201, 2.98861e-05, 0.0132595, 0.382037, 3.73186
2115, 2122.5, 9, 10.2336, 0, 0, 2.02925, 0.0331201, 0.000298861, 0.00900335, 4.41943, 3.74248
2130, 2137.5, 3, 6.07354, 0, 0, 2.00671, 0.0326717, 0, 0.00687529, 0.272548, 3.75474
2145, 2152.5, 5, 6.07444, 0, 0, 1.94054, 0.0366436, 0, 0.00892151, 0.3226, 3.76574
2160, 2167.5, 0, 6.07614, 0, 0, 2.00437, 0.0385654, 0, 0.00630235, 0.248696, 3.77821
2175, 2182.5, 3, 5.98482, 0, 0, 1.85673, 0.0406795, 0, 0.00859411, 0.287799, 3.79103
2190, 2197.5, 14, 18.6766, 0, 0, 1.67139, 0.0429857, 0, 0.00990369, 13.15, 3.80233
2205, 2212.5, 13, 9.8871, 0, 0, 1.75621, 0.0450357, 0, 0.0101492, 4.26223, 3.81347
2220, 2227.5, 3, 5.7065, 0, 0, 1.72545, 0.0495841, 0, 0.00900335, 0.0965846, 3.82587
2235, 2242.5, 0, 5.73634, 0, 0, 1.723, 0.0540685, 0, 0.0117862, 0.109489, 3.838
2250, 2257.5, 2, 5.58808, 0, 0, 1.54095, 0.0588731, 0, 0.0104766, 0.125521, 3.85225
2265, 2272.5, 4, 5.6347, 0, 0, 1.52477, 0.0707887, 0, 0.013505, 0.163451, 3.86219
2280, 2287.5, 6, 6.54521, 0, 0, 1.47745, 0.0756574, 0, 0.0141598, 1.10349, 3.87445
2295, 2302.5, 2, 5.60348, 0, 0, 1.40574, 0.0653434, 0, 0.0142417, 0.229144, 3.88902
2310, 2317.5, 5, 5.46168, 0, 0, 1.38661, 0.0615638, 0, 0.0139143, 0.0993218, 3.90027
2325, 2332.5, 3, 5.39193, 0, 0, 1.285, 0.0657278, 0, 0.0154694, 0.114572, 3.91116
2340, 2347.5, 3, 5.38491, 0, 0, 1.28752, 0.065984, 0, 0.0195618, 0.0860267, 3.92582
2355, 2362.5, 3, 5.31663, 0, 0, 1.20516, 0.0650231, 0, 0.0198074, 0.088764, 3.93788
2370, 2377.5, 2, 5.31995, 0, 0, 1.20114, 0.06797, 0, 0.0222628, 0.0785972, 3.94998
2385, 2392.5, 4, 5.20018, 0, 0, 1.09295, 0.0575919, 0, 0.0184978, 0.0692124, 3.96192
2400, 2407.5, 4, 5.20693, 0, 0, 1.10235, 0.05362, 0, 0.0181704, 0.0555264, 3.97726
2415, 2422.5, 5, 6.98855, 0, 0, 2.84343, 0.0513138, 0, 0.0196437, 0.0852447, 3.98892
2430, 2437.5, 4, 5.31521, 0, 0, 0.984925, 0.0461248, 0, 0.0229995, 0.258471, 4.00269
2445, 2452.5, 12, 10.5548, 0, 0, 0.883455, 0.0450357, 0, 0.0204622, 5.59135, 4.01455
2460, 2467.5, 4, 5.01738, 0, 0, 0.911591, 0.0417685, 0, 0.023245, 0.013295, 4.02748
2475, 2482.5, 5, 5.01221, 0, 0, 0.837663, 0.0417045, 0, 0.0225084, 0.0699945, 4.04034
2490, 2497.5, 5, 5.62626, 0, 0, 0.845244, 0.683608, 0, 0.0204622, 0.0222887, 4.05466
2505, 2512.5, 4, 6.36398, 0, 0, 0.781035, 1.45543, 0, 0.0187433, 0.0410582, 4.06772
2520, 2527.5, 2, 4.84482, 0, 0, 0.735984, 0, 0, 0.0183341, 0.00899371, 4.08151
2535, 2542.5, 5, 4.84035, 0, 0, 0.713749, 0, 0, 0.0174338, 0.0148592, 4.09431
2550, 2557.5, 3, 4.77443, 0, 0, 0.638465, 0, 0, 0.0168608, 0.0105578, 4.10855
2565, 2572.5, 4, 4.81625, 0, 0, 0.665157, 0, 0, 0.0182523, 0.012513, 4.12033
2580, 2587.5, 5, 4.79415, 0, 0, 0.62949, 0, 0, 0.0174338, 0.012513, 4.13472
2595, 2602.5, 5, 4.80207, 0, 0, 0.617266, 6.40622e-05, 0, 0.0198074, 0.0152502, 4.14969
2610, 2617.5, 11, 5.87607, 0, 0, 0.603459, 0, 0, 1.09988, 0.00860267, 4.16412
2625, 2632.5, 4, 4.8214, 0, 0, 0.621914, 0, 0, 0.00973999, 0.0144681, 4.17527
2640, 2647.5, 2, 4.75328, 0, 0, 0.542502, 0, 0, 0.0111314, 0.00977577, 4.18987
2655, 2662.5, 3, 4.70946, 0, 0, 0.476321, 0, 0, 0.00990369, 0.0172053, 4.20603
2670, 2677.5, 4, 4.7329, 0, 0, 0.493043, 0, 0, 0.0116225, 0.00860267, 4.21964
2685, 2692.5, 6, 4.92171, 0, 0, 0.4853, 0, 0, 0.0126865, 0.190041, 4.23368
