xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
803.5, 798, 63.0909, 67.0471, 50.4121, 0.0174155, 0.262636, 0.0211239, 0.00452691, 0.107896, 0.00557355, 0.0167451, 0.327872, 0.389473, 0.0750767, 2.10984, 0.66208, 0.307416, 0.0840336, 8.18559, 1.07505, 0.0184692, 0.0728402, 0.251565, 1.54455, 0.85519, 0.011273, 0.0727561, 0.0286706, 0.0404497, 0.0869007, 69.5909, 64.5, 72.0455, 62.0455, 74.4091, 59.6818, -1.60247
814.5, 809, 67.4545, 66.2837, 50.1231, 0.0168153, 0.256068, 0.0204474, 0.00447634, 0.10818, 0.00552357, 0.0165075, 0.332106, 0.389956, 0.0719534, 2.07004, 0.644598, 0.301618, 0.0836316, 8.07552, 1.06438, 0.0183869, 0.0764202, 0.280556, 1.52947, 0.587504, 0.00825539, 0.049379, 0.020814, 0.0409795, 0.0869314, 68.7727, 63.7727, 71.2273, 61.3182, 73.5909, 58.9545, 0.476982
825.5, 820, 64.9091, 65.6341, 49.5085, 0.0188224, 0.287207, 0.0235544, 0.00442667, 0.107302, 0.00561186, 0.0164048, 0.345108, 0.391161, 0.0730011, 2.08994, 0.652718, 0.304517, 0.0829644, 7.97179, 1.05838, 0.0181504, 0.0713944, 0.251263, 1.5101, 0.630302, 0.00875778, 0.0530204, 0.0216269, 0.0410583, 0.0869994, 68.1364, 63.1364, 70.5909, 60.6818, 72.9545, 58.3182, -0.296814
836.5, 831, 64.8182, 65.3393, 48.9089, 0.0301293, 0.473435, 0.0389042, 0.00434775, 0.106661, 0.00547123, 0.0161924, 0.3443, 0.384892, 0.0718546, 2.13636, 0.650895, 0.311282, 0.0827187, 7.85095, 1.05091, 0.0179864, 0.0691913, 0.268476, 1.49551, 0.791978, 0.0107516, 0.0651329, 0.0234179, 0.0415505, 0.0870859, 67.8636, 62.8636, 70.2273, 60.4091, 72.5909, 58.0455, -0.213805
847.5, 842, 62.7273, 64.2328, 48.5467, 0.0137664, 0.206619, 0.0164934, 0.00427341, 0.102575, 0.00538663, 0.0159642, 0.348113, 0.400966, 0.0712813, 2.06507, 0.659843, 0.300893, 0.0818165, 7.75948, 1.03714, 0.0178092, 0.0658866, 0.257001, 1.47576, 0.572203, 0.00801332, 0.0486934, 0.0204658, 0.0434226, 0.0871605, 66.6818, 61.7727, 69.1364, 59.4091, 71.4091, 57.0455, -0.623035
858.5, 853, 62.3636, 64.2982, 47.9106, 0.0127025, 0.190722, 0.0152937, 0.0260698, 0.75531, 0.0369459, 0.0581327, 0.355198, 0.409807, 0.0713208, 2.1003, 0.64783, 0.306027, 0.0813871, 7.69846, 1.03618, 0.0177231, 0.068847, 0.252471, 1.46245, 0.576293, 0.00805436, 0.0483498, 0.0203161, 0.0441761, 0.0872383, 66.7727, 61.8636, 69.1364, 59.4091, 71.5, 57.0455, -0.800154
869.5, 864, 60.3636, 62.9347, 47.451, 0.0135886, 0.206153, 0.0162725, 0.00374416, 0.0881571, 0.00463239, 0.0139629, 0.363834, 0.40386, 0.0729022, 2.08082, 0.662909, 0.303188, 0.0805494, 7.55567, 1.03887, 0.0175113, 0.0705682, 0.247035, 1.44503, 0.584362, 0.00801912, 0.0493202, 0.0202838, 0.0451337, 0.0873243, 65.4091, 60.5, 67.7727, 58.1364, 70.0455, 55.7727, -1.07488
880.5, 875, 65.5455, 61.8233, 46.4716, 0.0127829, 0.19288, 0.0151416, 0.00363252, 0.0867863, 0.00453365, 0.0137053, 0.370154, 0.402011, 0.073772, 2.03357, 0.663738, 0.296303, 0.0803364, 7.49955, 1.03544, 0.0175657, 0.0664374, 0.250659, 1.43873, 0.582001, 0.00811487, 0.0496861, 0.0204717, 0.0462935, 0.0874093, 64.2273, 59.4091, 66.5909, 57.0455, 68.8636, 54.7727, 1.57005
891.5, 886, 60.9091, 61.5253, 46.1262, 0.0121995, 0.185696, 0.0147388, 0.00516655, 0.132197, 0.00694058, 0.0170355, 0.378039, 0.398957, 0.0709453, 2.14921, 0.660092, 0.313154, 0.0803152, 7.37464, 1.04156, 0.0173128, 0.0660932, 0.251867, 1.41726, 0.591501, 0.0080813, 0.0504624, 0.0206705, 0.0474962, 0.0874741, 63.9545, 59.1364, 66.3182, 56.7727, 68.5909, 54.5, -0.260538
902.5, 897, 61.6364, 60.8768, 45.1545, 0.0163951, 0.249918, 0.0200166, 0.0034172, 0.0836215, 0.00437666, 0.0131838, 0.388749, 0.39526, 0.0719732, 2.11605, 0.674508, 0.308322, 0.0797788, 7.58785, 1.06773, 0.0175854, 0.0689847, 0.26908, 1.46074, 0.610558, 0.00836482, 0.0515234, 0.0206941, 0.0460608, 0.0875668, 63.2273, 58.5, 65.5909, 56.1364, 67.8636, 53.8636, 0.322886
