xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
869.5, 864, 36.6364, 35.9948, 28.9223, 0.00722719, 0.082957, 0.0091924, 0.00221819, 0.0454746, 0.00317931, 0.00829963, 0.140857, 0.136468, 0.0352453, 1.02549, 0.256679, 0.14942, 0.0437815, 2.61896, 0.398262, 0.000464651, 0.0359382, 1.00233, 0.79054, 0.199547, 0.00408169, 0.0266971, 0.0114199, 0.0266628, 0.0111595, 37.8636, 34.1364, 39.6818, 32.3182, 41.4091, 30.5909, 0.354663
880.5, 875, 35.0909, 35.405, 28.4111, 0.00685436, 0.0783592, 0.00851653, 0.001932, 0.0386625, 0.00263791, 0.00742651, 0.143939, 0.138799, 0.0367279, 1.01678, 0.249471, 0.148152, 0.0431373, 2.59778, 0.398728, 0.000466296, 0.0385543, 0.97938, 0.775326, 0.200923, 0.00410946, 0.0268005, 0.0113497, 0.0278548, 0.0112722, 37.2273, 33.5909, 39.0455, 31.7727, 40.7727, 30.0455, -0.175073
891.5, 886, 34.4545, 35.2202, 28.1354, 0.00634077, 0.072278, 0.00780438, 0.00303438, 0.0616177, 0.00429435, 0.00997279, 0.147007, 0.135825, 0.0354232, 1.0744, 0.256514, 0.156547, 0.043238, 2.57529, 0.396424, 0.000472879, 0.0393117, 1.00294, 0.771218, 0.201648, 0.00414884, 0.0274034, 0.011341, 0.0288804, 0.0113716, 37.0455, 33.4091, 38.8636, 31.5909, 40.5909, 29.8636, -0.427875
902.5, 897, 31.2727, 34.9323, 27.5882, 0.012211, 0.149322, 0.0173487, 0.00186662, 0.0369834, 0.00254432, 0.00713946, 0.151714, 0.134138, 0.0371232, 1.06901, 0.259828, 0.155762, 0.0432583, 2.63804, 0.42188, 0.000475074, 0.0411017, 1.07028, 0.802663, 0.208657, 0.0041422, 0.0277518, 0.0115786, 0.0277653, 0.0114876, 36.7727, 33.1364, 38.5, 31.3182, 40.2273, 29.5909, -2.05359
911.5, 908, 33.4286, 37.4722, 27.3824, 0.216425, 2.64314, 0.298444, 0.00178766, 0.0360206, 0.00247726, 0.00695228, 0.154809, 0.138547, 0.0348838, 1.05065, 0.270812, 0.153087, 0.0429771, 2.511, 0.393074, 0.000404306, 0.0456554, 1.05402, 0.760279, 0.198142, 0.00398641, 0.0264035, 0.0109071, 0.0233442, 0.0115734, 39.7857, 35.0714, 42.2143, 32.7857, 44.3571, 30.5, -1.74771
921, 915, 35.4167, 33.8649, 26.88, 0.00533585, 0.0691748, 0.00783657, 0.00180996, 0.0368504, 0.00248871, 0.0071088, 0.160093, 0.134305, 0.0369832, 1.08556, 0.269011, 0.158172, 0.0428028, 2.51137, 0.394493, 0.000435484, 0.0401378, 1.00047, 0.759394, 0.189121, 0.00390037, 0.0246794, 0.0104555, 0.0212744, 0.0116581, 35.625, 32.125, 37.2917, 30.4583, 38.875, 28.875, 0.923732
933, 927, 34.6667, 33.5594, 26.3928, 0.00359476, 0.0447643, 0.00473298, 0.00177275, 0.0360776, 0.00245644, 0.00702749, 0.167445, 0.139978, 0.0375268, 1.08404, 0.261112, 0.157951, 0.0433277, 2.46531, 0.396504, 0.000444536, 0.0378028, 1.00573, 0.750066, 0.404829, 0.00767156, 0.0546334, 0.020196, 0.019765, 0.0117789, 35.2917, 31.875, 36.9583, 30.2083, 38.5417, 28.5417, 0.662149
945, 939, 31.4167, 33.0814, 25.8773, 0.00534407, 0.0666019, 0.00737045, 0.00185869, 0.0358733, 0.00246812, 0.00706689, 0.172854, 0.157586, 0.0402992, 1.24552, 0.30258, 0.18148, 0.0473381, 2.47814, 0.397334, 0.000454593, 0.0429778, 1.01182, 0.749248, 0.181657, 0.00374497, 0.024032, 0.00985639, 0.0187462, 0.0118921, 34.7917, 31.375, 36.4583, 29.7083, 38.0417, 28.125, -1.00266
956.5, 951, 32.7273, 32.3926, 25.3695, 0.00553202, 0.0695143, 0.00775601, 0.00204344, 0.0410225, 0.00288041, 0.00757105, 0.175042, 0.142898, 0.0387441, 1.18383, 0.275736, 0.172491, 0.0443055, 2.42424, 0.394175, 0.000456422, 0.0391051, 1.01079, 0.737473, 0.180657, 0.0037393, 0.0237255, 0.00961465, 0.0177245, 0.0120233, 34.1364, 30.5909, 35.8636, 28.9545, 37.5, 27.2273, 0.195012
967.5, 962, 31.9091, 33.2991, 24.9133, 0.107547, 1.31213, 0.148925, 0.00165815, 0.032951, 0.00219677, 0.00647391, 0.155391, 0.147158, 0.0345337, 1.0744, 0.272919, 0.156547, 0.0428466, 2.43584, 0.399442, 0.000438319, 0.0393117, 1.01351, 0.732976, 0.19871, 0.00405226, 0.0263774, 0.0104527, 0.0168743, 0.0121344, 35.0455, 31.5, 36.7727, 29.7727, 38.5, 28.0455, -0.798885
980, 973, 31.5714, 31.2207, 24.319, 0.00304385, 0.0434539, 0.0048169, 0.00176243, 0.0338202, 0.00236292, 0.00680493, 0.142052, 0.147008, 0.0373534, 1.12784, 0.273286, 0.164333, 0.0429667, 2.40026, 0.397083, 0.000463789, 0.0401378, 1.06493, 0.730804, 0.173966, 0.00357181, 0.0228487, 0.00911703, 0.01532, 0.0122587, 32.75, 29.6786, 34.25, 28.1786, 35.6786, 26.75, 0.234879
994, 987, 29.5714, 30.4491, 23.5864, 0.00241055, 0.0330251, 0.0035353, 0.00164703, 0.0300514, 0.00214731, 0.00637248, 0.140587, 0.145935, 0.0368874, 1.14282, 0.277777, 0.166516, 0.0430993, 2.39021, 0.400919, 0.000437927, 0.0392723, 1.04239, 0.725908, 0.170445, 0.00343241, 0.0221862, 0.00896889, 0.0133372, 0.0123988, 31.9643, 28.9643, 33.3929, 27.4643, 34.8929, 26.0357, -0.595141
