xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
682, 672, 10.9, 10.2989, 0.0391421, 0.396546, 0.0347926, 0.0278128, 0.45049, 0.0247699, 0.0237553, 0.282967, 0.179533, 0.0417705, 1.04578, 0.299049, 0.152376, 0.0465429, 4.43823, 0.436225, 0.00250911, 0.0963308, 0.311104, 0.886228, 0.867935, 0.0209777, 0.087766, 0.0177556, 0.0885129, 11.025, 9.575, 11.775, 8.825, 12.475, 8.125, 0.83766
702, 692, 9.3, 10.1978, 0.0385778, 0.391523, 0.0342649, 0.0280709, 0.455434, 0.0248227, 0.0229854, 0.283544, 0.177455, 0.0411726, 1.03753, 0.301828, 0.151174, 0.0458732, 4.34082, 0.435343, 0.00251228, 0.0974289, 0.295241, 0.872489, 0.897222, 0.0216079, 0.0908893, 0.0178928, 0.0920489, 10.925, 9.475, 11.625, 8.725, 12.325, 8.075, -1.25724
717, 712, 9.3, 10.0857, 0.0382442, 0.387944, 0.0338075, 0.0278264, 0.451529, 0.024402, 0.0221915, 0.283272, 0.174516, 0.039857, 1.02773, 0.303719, 0.149746, 0.0456421, 4.25946, 0.432431, 0.00244967, 0.0924306, 0.29466, 0.855588, 0.912236, 0.0221394, 0.0920696, 0.0177736, 0.0940137, 11.15, 9.05, 12.15, 8.05, 13.15, 7.05, -0.782325
727, 722, 9.5, 10.5137, 0.0394688, 0.401743, 0.0351348, 0.0500538, 0.882196, 0.0451359, 0.0396145, 0.284254, 0.177654, 0.040966, 1.02951, 0.303628, 0.150006, 0.0451221, 4.20161, 0.428252, 0.0024548, 0.0934908, 0.294992, 0.843109, 0.899116, 0.0219744, 0.0914815, 0.0170376, 0.0956577, 11.55, 9.45, 12.65, 8.45, 13.65, 7.45, -0.988593
743, 732, 10, 9.86087, 0.038599, 0.392596, 0.0340183, 0.0229185, 0.368882, 0.020114, 0.0183824, 0.284789, 0.179627, 0.0405875, 1.02279, 0.303284, 0.149027, 0.0446236, 4.16046, 0.424246, 0.00245779, 0.0966957, 0.296411, 0.831966, 0.90034, 0.0218878, 0.0910659, 0.0168984, 0.0982051, 10.5682, 9.15909, 11.2045, 8.52273, 11.8864, 7.84091, 0.207811
765, 754, 9.68182, 9.89275, 0.0408507, 0.41671, 0.0361341, 0.0220006, 0.358027, 0.0194283, 0.0179425, 0.286492, 0.17808, 0.0410075, 1.03804, 0.303616, 0.151248, 0.0443695, 4.07464, 0.423354, 0.00240403, 0.096558, 0.293089, 0.817965, 0.988316, 0.0233436, 0.0985609, 0.0190159, 0.101564, 10.5682, 9.20455, 11.25, 8.52273, 11.8864, 7.88636, -0.31456
787, 776, 8.81818, 9.70204, 0.0430904, 0.441495, 0.0382875, 0.0210878, 0.343351, 0.0184563, 0.0173328, 0.289017, 0.181295, 0.0405133, 1.0389, 0.307448, 0.151375, 0.0435, 3.99428, 0.423148, 0.00240417, 0.0965924, 0.292863, 0.803819, 0.882226, 0.021248, 0.0878139, 0.0157847, 0.106707, 10.3864, 9.02273, 11.0682, 8.34091, 11.7045, 7.70455, -1.33095
809, 798, 9.09091, 9.4383, 0.0367556, 0.374008, 0.0317269, 0.0186044, 0.304087, 0.0161631, 0.0150022, 0.292965, 0.177859, 0.0400636, 1.04222, 0.303347, 0.151858, 0.0432873, 3.92429, 0.421242, 0.00236453, 0.0954048, 0.291353, 0.791064, 0.835352, 0.0200031, 0.0829238, 0.0153673, 0.110988, 10.1136, 8.75, 10.75, 8.11364, 11.3864, 7.47727, -0.530376
831, 820, 9.63636, 9.43737, 0.0400614, 0.40906, 0.0347908, 0.0181997, 0.298717, 0.015715, 0.0143548, 0.2986, 0.179185, 0.0401674, 1.051, 0.308131, 0.153137, 0.0430014, 3.86338, 0.420529, 0.00236632, 0.0975735, 0.295732, 0.779544, 0.839535, 0.0202595, 0.0830669, 0.0144902, 0.116778, 10.1136, 8.75, 10.75, 8.11364, 11.3864, 7.47727, 0.303821
853, 842, 8.54545, 9.34114, 0.0345688, 0.350578, 0.0294189, 0.0237605, 0.401958, 0.0210578, 0.0196172, 0.302543, 0.182018, 0.0400883, 1.06163, 0.313227, 0.154685, 0.0425371, 3.80332, 0.420632, 0.00237811, 0.0965408, 0.294675, 0.77025, 0.74602, 0.0179726, 0.0742696, 0.0135761, 0.123822, 10.0227, 8.65909, 10.6591, 8.02273, 11.2955, 7.38636, -1.2211
