xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
58.5, 58, 516, 6.54836, 4.93718, 0.0689446, 0.000259881, 0.237129, 0.116044, 0.0108992, 0.266929, 0.0420596, 0.732114, 0.136792, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20088
59.5, 59, 514, 6.61109, 4.91868, 0.0618401, 0.00020213, 0.237129, 0.124229, 0.0127158, 0.309982, 0.0453096, 0.764212, 0.136787, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20278
60.5, 60, 517, 6.43122, 4.85437, 0.0614984, 0.000259881, 0.146794, 0.110747, 0.0127158, 0.322898, 0.0441701, 0.740996, 0.136775, 8.5, 3.5, 11.5, 1.5, 15.5, 0.5, 3.19725
61.5, 61, 542, 6.47589, 4.79622, 0.0608636, 0.000346509, 0.169378, 0.128081, 0.0127158, 0.325051, 0.0439743, 0.802498, 0.136762, 9.5, 3.5, 11.5, 1.5, 15.5, 0.5, 3.19864
62.5, 62, 542, 6.55663, 4.91428, 0.0620843, 0.000375384, 0.169378, 0.106895, 0.0127158, 0.322898, 0.0456869, 0.785508, 0.136806, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20113
63.5, 63, 558, 6.54457, 4.90987, 0.0622064, 0.000317633, 0.135502, 0.122785, 0.0181654, 0.288455, 0.0488697, 0.821621, 0.136776, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20076
64.5, 64, 564, 6.75909, 5.14422, 0.0615472, 0.000462011, 0.146794, 0.115081, 0.0127158, 0.260471, 0.0474803, 0.833413, 0.136907, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.2072
65.5, 65, 604, 6.71599, 4.99621, 0.0647942, 0.000173254, 0.259713, 0.124229, 0.00544962, 0.292761, 0.0474399, 0.788398, 0.136822, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20593
66.5, 66, 560, 6.77497, 5.0755, 0.0645257, 0.000144379, 0.18067, 0.116044, 0.0181654, 0.297066, 0.0496853, 0.83638, 0.136784, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20767
67.5, 67, 559, 6.81478, 5.06141, 0.0651604, 0.000288757, 0.214545, 0.117007, 0.0108992, 0.361646, 0.0459095, 0.801238, 0.136683, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20883
