xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
45.5, 45, 553, 2.2259, 1.61199, 0.0177488, 2.88757e-05, 0.101627, 0.0447803, 0.119892, 0.124854, 0.0069313, 0.175465, 0.0225788, 3.5, 0.5, 5.5, 0, 7.5, 0, 2.00112
46.5, 46, 487, 2.16038, 1.55088, 0.0195066, 5.77514e-05, 0.0903349, 0.0433358, 0.118075, 0.103327, 0.0105387, 0.201938, 0.0223851, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.99465
47.5, 47, 428, 2.16432, 1.57748, 0.0185301, 0.000115503, 0.0903349, 0.0462248, 0.123525, 0.0861061, 0.00842137, 0.191116, 0.0224619, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.99504
48.5, 48, 482, 2.27026, 1.67095, 0.0178953, 2.88757e-05, 0.0903349, 0.0442988, 0.128974, 0.107633, 0.00793587, 0.180061, 0.0221447, 3.5, 0.5, 5.5, 0, 7.5, 0, 2.05653
49.5, 49, 486, 2.30905, 1.67598, 0.0185057, 0.000173254, 0.0790431, 0.0500769, 0.161672, 0.109785, 0.00842137, 0.183106, 0.0222829, 3.5, 0.5, 5.5, 0, 7.5, 0, 2.06014
50.5, 50, 465, 2.27331, 1.64938, 0.018408, 5.77514e-05, 0.0903349, 0.0476694, 0.150773, 0.10548, 0.00824607, 0.180876, 0.0220868, 3.5, 0.5, 5.5, 0, 7.5, 0, 2.05682
51.5, 51, 501, 2.40057, 1.7752, 0.0170408, 5.77514e-05, 0.0677512, 0.0399652, 0.165305, 0.0968694, 0.0104914, 0.205798, 0.0220871, 3.5, 0.5, 5.5, 0, 8.5, 0, 2.06841
52.5, 52, 451, 2.46289, 1.73854, 0.0186033, 0.000144379, 0.0564593, 0.0577811, 0.203452, 0.127007, 0.00762568, 0.231302, 0.0219765, 4.5, 0.5, 5.5, 0, 8.5, 0, 2.13095
53.5, 53, 467, 2.57973, 1.86724, 0.0195555, 0.000144379, 0.0564593, 0.0544105, 0.170755, 0.103327, 0.00907534, 0.276841, 0.0219287, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.14063
54.5, 54, 432, 2.53873, 1.8356, 0.0193601, 2.88757e-05, 0.0790431, 0.0625961, 0.192553, 0.109785, 0.0102689, 0.20764, 0.0218535, 4.5, 0.5, 5.5, 0, 8.5, 0, 2.13729
55.5, 55, 496, 2.59146, 1.90822, 0.0193113, 0.000144379, 0.0564593, 0.0481509, 0.18892, 0.135617, 0.00701895, 0.206011, 0.0216076, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.14158
56.5, 56, 480, 2.59093, 1.91038, 0.0193601, 0.000115503, 0.0564593, 0.0390022, 0.237967, 0.0968694, 0.00921707, 0.199785, 0.0217782, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.14154
57.5, 57, 537, 2.69459, 1.93338, 0.0213621, 0.000115503, 0.0790431, 0.0582626, 0.259765, 0.131312, 0.0093787, 0.180429, 0.0215349, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.21463
58.5, 58, 510, 2.73584, 2.00744, 0.0206785, 0.000144379, 0.0677512, 0.054892, 0.2416, 0.0947167, 0.00929789, 0.21759, 0.0217292, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.21775
59.5, 59, 462, 2.80176, 2.02685, 0.0196775, 0.000115503, 0.112919, 0.0524845, 0.23615, 0.133464, 0.00819883, 0.190224, 0.0216677, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.22262
60.5, 60, 530, 2.77292, 2.03189, 0.0201658, 0, 0.0790431, 0.0457433, 0.285197, 0.0904114, 0.0112331, 0.187625, 0.0216106, 4.5, 0.5, 6.5, 0, 8.5, 0, 2.22051
61.5, 61, 497, 2.92905, 2.12536, 0.0189939, 5.77514e-05, 0.0451675, 0.0476694, 0.301545, 0.154991, 0.00921024, 0.20446, 0.0216014, 4.5, 0.5, 6.5, 0, 9.5, 0, 2.3075
