xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
141.5, 141, 2, 0.144006, 0.00580235, 0, 0.0112919, 0.000722263, 0.00272481, 0.0301371, 0.00177665, 0.0915511, 0.5, 0, 1.5, 0, 2.5, 0, 0.597401
142.5, 142, 3, 0.144885, 0.00570469, 2.88757e-05, 0.0112919, 0.000722263, 0.000908269, 0.0290608, 0.00184752, 0.0953208, 0.5, 0, 1.5, 0, 2.5, 0, 0.608669
143.5, 143, 6, 0.148595, 0.00575352, 1.44379e-05, 0.00718573, 0.000481509, 0.00272481, 0.0322898, 0.00227894, 0.0978667, 0.5, 0, 1.5, 0, 2.5, 0, 0.62007
144.5, 144, 2, 0.153215, 0.00558262, 1.44379e-05, 0.00821227, 0.000240754, 0, 0.0365951, 0.00127095, 0.101299, 0.5, 0, 1.5, 0, 2.5, 0, 0.608183
145.5, 145, 4, 0.153831, 0.0063069, 0, 0.00718573, 0.00120377, 0.00181654, 0.0333661, 0.00173624, 0.102216, 0.5, 0, 1.5, 0, 2.5, 0, 0.620402
146.5, 146, 1, 0.167688, 0.0066731, 2.88757e-05, 0.00513267, 0.000240754, 0.00272481, 0.0441294, 0.0018441, 0.106914, 0.5, 0, 1.5, 0, 2.5, 0, 0.473055
147.5, 147, 6, 0.161346, 0.00635573, 5.77514e-05, 0.0102653, 0.000963018, 0.000908269, 0.0279845, 0.00193175, 0.11288, 0.5, 0, 1.5, 0, 2.5, 0, 0.642195
148.5, 148, 4, 0.171599, 0.00705559, 2.88757e-05, 0.0061592, 0.000481509, 0.00272481, 0.0376714, 0.00184068, 0.115637, 0.5, 0, 1.5, 0, 2.5, 0, 0.656216
149.5, 149, 2, 0.170768, 0.00659173, 4.33136e-05, 0.0092388, 0, 0.00181654, 0.0333661, 0.00157773, 0.118133, 0.5, 0, 1.5, 0, 2.5, 0, 0.640376
150.5, 150, 5, 0.179366, 0.00698235, 0, 0.0133449, 0, 0.000908269, 0.0312135, 0.00201598, 0.124901, 0.5, 0, 1.5, 0, 2.5, 0, 0.662753
151.5, 151, 5, 0.191003, 0.00705559, 4.33136e-05, 0.0123184, 0.00120377, 0.00363308, 0.0376714, 0.00210705, 0.12697, 0.5, 0, 1.5, 0, 2.5, 0, 0.679522
152.5, 152, 6, 0.186441, 0.00768221, 1.44379e-05, 0.00718573, 0, 0.00181654, 0.0376714, 0.00212726, 0.129944, 0.5, 0, 1.5, 0, 2.5, 0, 0.667041
153.5, 153, 2, 0.203971, 0.0079589, 1.44379e-05, 0.00410613, 0.000722263, 0.000908269, 0.0452057, 0.00193175, 0.143123, 0.5, 0, 1.5, 0, 2.5, 0, 0.67881
154.5, 154, 5, 0.197273, 0.00817048, 4.33136e-05, 0.0102653, 0.000481509, 0.00181654, 0.0376714, 0.00210705, 0.136718, 0.5, 0, 1.5, 0, 2.5, 0, 0.681196
155.5, 155, 3, 0.198959, 0.00744621, 4.33136e-05, 0.0092388, 0, 0.00544962, 0.0398241, 0.00230256, 0.134655, 0.5, 0, 1.5, 0, 2.5, 0, 0.684583
156.5, 156, 3, 0.210004, 0.00823559, 2.88757e-05, 0.0092388, 0.00168528, 0.00181654, 0.0419767, 0.00287913, 0.144143, 0.5, 0, 1.5, 0, 2.5, 0, 0.698464
157.5, 157, 4, 0.217705, 0.0085611, 0, 0.0123184, 0.000481509, 0.000908269, 0.046282, 0.00212726, 0.147026, 0.5, 0, 1.5, 0, 2.5, 0, 0.704629
158.5, 158, 6, 0.209061, 0.00882966, 1.44379e-05, 0.00410613, 0.000963018, 0.00181654, 0.0419767, 0.00298357, 0.148371, 0.5, 0, 1.5, 0, 2.5, 0, 0.697344
159.5, 159, 4, 0.217031, 0.00880524, 4.33136e-05, 0.0061592, 0.00120377, 0.000908269, 0.0441294, 0.00315887, 0.152623, 0.5, 0, 1.5, 0, 2.5, 0, 0.702871
160.5, 160, 2, 0.230156, 0.00878083, 1.44379e-05, 0.0112919, 0.000722263, 0.00544962, 0.0473584, 0.00252169, 0.154017, 0.5, 0, 1.5, 0, 2.5, 0, 0.694736
161.5, 161, 3, 0.242405, 0.00930166, 2.88757e-05, 0.0133449, 0.000963018, 0.00363308, 0.0484347, 0.00225873, 0.16444, 0.5, 0, 1.5, 0, 2.5, 0, 0.735199
162.5, 162, 5, 0.253961, 0.00992014, 4.33136e-05, 0.0174511, 0.000240754, 0.00635789, 0.0505873, 0.00250148, 0.166859, 0.5, 0, 1.5, 0, 2.5, 0, 0.751019
163.5, 163, 5, 0.240941, 0.0102457, 5.77514e-05, 0.00718573, 0.000722263, 0.00454135, 0.0409004, 0.00232276, 0.174965, 0.5, 0, 1.5, 0, 2.5, 0, 0.733679
164.5, 164, 7, 0.249942, 0.00982248, 4.33136e-05, 0.0143715, 0.000240754, 0.00454135, 0.0419767, 0.00362417, 0.175321, 0.5, 0, 1.5, 0, 2.5, 0, 0.75665
