xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1220, 1215, 784, 763.046, 741.131, 0.587315, 0.0267541, 5.08905, 2.88924, 2.8205, 8.94175, 0.638475, 0.0583903, 0.209516, 0.653587, 52.7667, 48.9667, 54.5667, 47.1667, 56.3667, 45.3667, -16.9077
1230, 1225, 747, 739.315, 717.563, 0.235046, 0.0288466, 5.41469, 2.92807, 2.79781, 8.81127, 0.627251, 0.0605139, 0.187301, 0.661349, 51.1, 47.4333, 52.9667, 45.6333, 54.7, 43.9, -17.4075
1240, 1235, 705, 718.009, 695.765, 0.296175, 0.029564, 5.31624, 3.19214, 2.74562, 9.07433, 0.646892, 0.0596714, 0.213437, 0.669598, 49.7, 46.0333, 51.4333, 44.3, 53.2333, 42.5, -17.6151
1250, 1245, 650, 700.113, 676.432, 0.365622, 0.0303412, 5.92208, 3.25816, 2.94984, 9.53941, 0.66248, 0.0624995, 0.212565, 0.678032, 48.5, 44.9, 50.2333, 43.1, 51.9667, 41.4333, -16.4444
1260, 1255, 652, 676.396, 653.345, 0.344151, 0.0311782, 5.84635, 3.34359, 2.71386, 9.2027, 0.616964, 0.0580557, 0.208645, 0.685494, 46.8333, 43.3, 48.5667, 41.6333, 50.3, 39.9, -16.818
1270, 1265, 640, 651.921, 628.258, 0.496264, 0.0307597, 5.9448, 3.70863, 2.8137, 9.06802, 0.629122, 0.0580275, 0.219535, 0.693893, 45.1667, 41.7, 46.9, 40.0333, 48.5667, 38.3667, -16.7597
1280, 1275, 665, 632.262, 608.394, 0.535125, 0.0313875, 6.39918, 3.40184, 2.66394, 9.108, 0.629434, 0.152619, 0.244363, 0.702195, 43.8333, 40.4333, 45.5, 38.7667, 47.1667, 37.1667, -16.316
1290, 1285, 609, 609.5, 584.666, 0.266586, 0.0314473, 6.96715, 3.92998, 2.61855, 9.2511, 0.618211, 0.225411, 0.215614, 0.710397, 42.3, 38.9667, 43.9667, 37.3, 45.5667, 35.7, -14.1566
1300, 1295, 585, 588.054, 562.514, 0.628992, 0.0317462, 7.20192, 3.94552, 2.67301, 9.40052, 0.624134, 0.0959983, 0.21997, 0.718146, 40.8333, 37.5667, 42.4333, 35.9667, 44.0333, 34.3667, -14.8477
1310, 1305, 620, 568.721, 540.848, 1.03736, 0.0326131, 8.08038, 4.03095, 2.7842, 9.44681, 0.616964, 0.0606667, 1.05716, 0.726234, 39.5667, 36.3, 41.1, 34.7, 42.6333, 33.1667, -15.2098
1320, 1315, 529, 543.826, 517.183, 0.170567, 0.0292352, 8.27728, 4.31055, 2.67301, 9.54151, 0.606676, 0.0613911, 0.238265, 0.734552, 37.8333, 34.7, 39.3667, 33.1, 40.9, 31.6333, -14.0577
1330, 1325, 482, 522.155, 493.58, 0.412156, 0.0301918, 9.3375, 4.91636, 2.58679, 9.56677, 0.642527, 0.0545649, 0.285744, 0.742847, 36.3667, 33.2333, 37.9, 31.7667, 39.3667, 30.2333, -13.8794
1340, 1335, 491, 501.79, 471.833, 0.329246, 0.0419397, 9.8146, 5.34742, 2.6662, 10.0318, 0.629746, 0.0572883, 0.287922, 0.750513, 34.9667, 31.9, 36.4333, 30.4333, 37.9, 28.9667, -13.2938
1350, 1345, 437, 478.861, 446.558, 0.211557, 1.2601, 10.9733, 5.53382, 2.63898, 10.0087, 0.612287, 0.059218, 0.24567, 0.758944, 33.4333, 30.4333, 34.9, 28.9667, 36.3, 27.5667, -13.4745
