xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
26901.7, 26857.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26989.7, 26945.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27077.8, 27033.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27165.8, 27121.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27253.8, 27209.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27341.9, 27297.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27429.9, 27385.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27517.9, 27473.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27606, 27562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27694, 27650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27782.1, 27738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27870.1, 27826.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
27958.1, 27914.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28046.2, 28002.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28134.2, 28090.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28222.2, 28178.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28310.3, 28266.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28398.3, 28354.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28486.3, 28442.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28574.4, 28530.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28662.4, 28618.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28750.4, 28706.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28838.5, 28794.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
28926.5, 28882.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29014.6, 28970.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29102.6, 29058.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29190.6, 29146.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29278.7, 29234.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29366.7, 29322.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29454.7, 29410.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29542.8, 29498.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29630.8, 29586.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29718.8, 29674.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29806.9, 29762.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29894.9, 29850.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
29982.9, 29938.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30071, 30027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30159, 30115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30247.1, 30203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30335.1, 30291.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30423.1, 30379.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30511.2, 30467.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30599.2, 30555.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30687.2, 30643.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30775.3, 30731.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30863.3, 30819.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
30951.3, 30907.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31039.4, 30995.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31127.4, 31083.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31215.4, 31171.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31303.5, 31259.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31391.5, 31347.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31479.6, 31435.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31567.6, 31523.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31655.6, 31611.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31743.7, 31699.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31831.7, 31787.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
31919.7, 31875.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32007.8, 31963.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32095.8, 32051.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32183.8, 32139.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32271.9, 32227.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32359.9, 32315.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32447.9, 32403.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32536, 32492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32624, 32580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32712.1, 32668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32800.1, 32756.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32888.1, 32844.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
32976.2, 32932.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33064.2, 33020.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33152.2, 33108.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33240.3, 33196.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
